time,mV
0,-0.003
0.01,-0.035
0.02,-0.086
0.03,-0.197
0.04,-0.071
0.05,0.368
0.06,0.296
0.07,0.179
0.08,0.243
0.09,0.095
0.1,0.011
0.11,-0.033
0.12,-0.053
0.13,-0.069
0.14,-0.021
0.15,-0.017
0.16,-0.054
0.17,-0.056
0.18,-0.091
0.19,-0.082
0.2,-0.099
0.21,-0.116
0.22,-0.146
0.23,-0.188
0.24,-0.194
0.25,-0.222
0.26,-0.211
0.27,-0.225
0.28,-0.27
0.29,-0.288
0.3,-0.325
0.31,-0.324
0.32,-0.316
0.33,-0.335
0.34,-0.32
0.35000000000000003,-0.296
0.36,-0.27
0.37,-0.236
0.38,-0.251
0.39,-0.26
0.4,-0.237
0.41000000000000003,-0.2
0.42,-0.169
0.43,-0.161
0.44,-0.14
0.45,-0.081
0.46,0.017
0.47000000000000003,0.076
0.48,0.094
0.49,0.072
0.5,0.051
0.51,0.018
0.52,-0.032
0.53,-0.056
0.54,-0.076
0.55,-0.103
0.56,-0.099
0.5700000000000001,-0.171
0.58,-0.174
0.59,0.264
0.6,0.373
0.61,0.18
0.62,0.244
0.63,0.136
0.64,0.02
0.65,-0.042
0.66,-0.053
0.67,-0.007
0.68,-0.047
0.6900000000000001,-0.056
0.7000000000000001,-0.061
0.71,-0.051
0.72,-0.05
0.73,-0.056
0.74,-0.057
0.75,-0.109
0.76,-0.13
0.77,-0.121
0.78,-0.145
0.79,-0.189
0.8,-0.229
0.81,-0.247
0.8200000000000001,-0.264
0.8300000000000001,-0.252
0.84,-0.272
0.85,-0.302
0.86,-0.284
0.87,-0.283
0.88,-0.253
0.89,-0.221
0.9,-0.209
0.91,-0.179
0.92,-0.153
0.93,-0.135
0.9400000000000001,-0.12
0.9500000000000001,-0.085
0.96,-0.078
0.97,-0.07
0.98,-0.018
0.99,0.045
1,0.133
1.01,0.184
1.02,0.198
1.03,0.217
1.04,0.179
1.05,0.113
1.06,0.099
1.07,0.071
1.08,0.078
1.09,0.056
1.1,0.03
1.11,0.037
1.12,-0.063
1.1300000000000001,0.315
1.1400000000000001,0.61
1.1500000000000001,0.316
1.16,0.288
1.17,0.264
1.18,0.142
1.19,0.112
1.2,0.075
1.21,0.083
1.22,0.061
1.23,0.073
1.24,0.079
1.25,0.053
1.26,0.065
1.27,0.054
1.28,0.035
1.29,0.025
1.3,-0.022
1.31,-0.052
1.32,-0.078
1.33,-0.114
1.34,-0.139
1.35,-0.164
1.36,-0.215
1.37,-0.243
1.3800000000000001,-0.225
1.3900000000000001,-0.228
1.4000000000000001,-0.25
1.41,-0.228
1.42,-0.194
1.43,-0.176
1.44,-0.129
1.45,-0.118
1.46,-0.109
1.47,-0.092
1.48,-0.073
1.49,-0.034
1.5,-0.027
1.51,-0.002
1.52,0.018
