time,mV
0,-0.036
0.01,-0.034
0.02,-0.037
0.03,-0.039
0.04,-0.034
0.05,-0.023
0.06,-0.02
0.07,-0.017
0.08,-0.006
0.09,-0.006
0.1,-0.009
0.11,-0.014
0.12,-0.016
0.13,-0.012
0.14,-0.01
0.15,-0.012
0.16,-0.043
0.17,-0.059
0.18,-0.043
0.19,-0.033
0.2,-0.027
0.21,-0.034
0.22,-0.037
0.23,-0.032
0.24,-0.032
0.25,-0.031
0.26,-0.024
0.27,-0.017
0.28,-0.018
0.29,-0.019
0.3,-0.026
0.31,-0.037
0.32,-0.045
0.33,-0.054
0.34,-0.066
0.35000000000000003,-0.058
0.36,-0.044
0.37,-0.037
0.38,-0.022
0.39,-0.034
0.4,-0.046
0.41000000000000003,-0.037
0.42,-0.029
0.43,-0.027
0.44,-0.029
0.45,-0.037
0.46,-0.054
0.47000000000000003,-0.051
0.48,-0.044
0.49,-0.033
0.5,-0.031
0.51,-0.039
0.52,-0.034
0.53,-0.032
0.54,-0.03
0.55,-0.029
0.56,-0.026
0.5700000000000001,-0.028
0.58,-0.038
0.59,-0.048
0.6,-0.04
0.61,-0.027
0.62,-0.007
0.63,0
0.64,-0.026
0.65,-0.057
0.66,-0.035
0.67,0.276
0.68,0.5
0.6900000000000001,0.2
0.7000000000000001,-0.045
0.71,-0.027
0.72,-0.018
0.73,-0.023
0.74,-0.037
0.75,-0.042
0.76,-0.043
0.77,-0.038
0.78,-0.019
0.79,-0.005
0.8,0.007
0.81,0.004
0.8200000000000001,0.003
0.8300000000000001,-0.006
0.84,-0.018
0.85,-0.008
0.86,0.014
0.87,0.034
0.88,0.038
0.89,0.057
0.9,0.082
0.91,0.089
0.92,0.101
0.93,0.112
0.9400000000000001,0.119
0.9500000000000001,0.109
0.96,0.089
0.97,0.075
0.98,0.068
0.99,0.053
1,0.022
1.01,0.01
1.02,-0.007
1.03,-0.008
1.04,0.004
1.05,-0.007
1.06,-0.022
1.07,-0.036
1.08,-0.016
1.09,0.008
1.1,-0.002
1.11,-0.01
1.12,-0.014
1.1300000000000001,-0.026
1.1400000000000001,-0.007
1.1500000000000001,-0.002
1.16,-0.03
